Parlamentare,id,Partito,dataIngresso,905003,905006,905005,905004,905007,905008,905001,905002,905009,009002,009004,009005,009006,009003,009001
CIRIELLI EDMONDO,300319,FDI-AN,2013-04-03,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole
DI GIOIA RAFFAELE,300327,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
IANNUZZI BARBATO,300332,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ROMANO FRANCESCO SAVERIO,300369,NCI-SCPI-MAIE,2016-10-13,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
ALFANO GIOACCHINO,300378,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TAGLIALATELA MARCELLO,300392,FDI-AN,2013-04-03,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CASERO LUIGI,300398,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BURTONE GIOVANNI MARIO SALVINO,300410,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LOLLI GIOVANNI,300420,PD,2013-03-19,,,,,,,,,,,,,,,
ALFANO ANGELINO,300431,AP-CPE-NCD-NCI,2013-11-18,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
FONTANA GREGORIO,300439,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
LAINATI GIORGIO,300442,NCI-SCPI-MAIE,2016-10-13,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LUPI MAURIZIO ENZO,300447,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
PALMIERI ANTONIO,300453,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Astensione
ROMELE GIUSEPPE,300459,FI-PDL,2013-03-19,Favorevole,Non ha votato,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GIACHETTI ROBERTO,300480,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
MARTELLA ANDREA,300483,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FORMISANO ANIELLO,300541,CI,2017-07-10,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
RIGONI ANDREA,300558,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
GENTILONI SILVERI PAOLO,300637,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
GARNERO SANTANCHE' DANIELA,300639,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Astensione,,,,,,
ROSATO ETTORE,300674,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
LEGNINI GIOVANNI,300879,PD,2013-03-19,,,,,,,,,,,,,,,
GIACOMELLI ANTONELLO,301056,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
COTA ROBERTO,301069,LNA,2013-03-19,,,,,,,,,,,,,,,
OLIVERIO NICODEMO NAZZARENO,301408,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
META MICHELE POMPEO,301409,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MAROTTA ANTONIO,301435,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
RAMPELLI FABIO,301436,FDI-AN,2013-04-03,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole
PILI MAURO,301438,MISTO,2013-03-19,Contrario,Contrario,Contrario,Contrario,Astensione,Astensione,Contrario,Contrario,Astensione,,,,,,
CESA LORENZO,301439,DES-CD,2013-12-10,,,,,,,,,,,,,,,
GELMINI MARIASTELLA,301449,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
FIANO EMANUELE,301452,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
GRIMOLDI PAOLO,301455,LNA,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
RAVETTO LAURA,301459,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
MISIANI ANTONIO,301462,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ORLANDO ANDREA,301463,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
SANGA GIOVANNI,301465,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MARANTELLI DANIELE,301467,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LO MONTE CARMELO,301477,MISTO,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
CAPODICASA ANGELO,301478,MDP-LU,2017-02-28,Contrario,Astensione,Contrario,Contrario,Non ha votato,Astensione,Contrario,Favorevole,Contrario,,,,,,
LENZI DONATA,301480,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MARCHI MAINO,301481,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GHIZZONI MANUELA,301485,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
FERRARA FRANCESCO,301489,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
MARTINELLI MARCO,301492,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
VELO SILVIA,301495,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BOCCI GIANPIERO,301496,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
PICCHI GUGLIELMO,301500,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
FARINA GIOVANNI,301503,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MERLO RICARDO ANTONIO,301506,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
FEDI MARCO,301509,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
NICCHI MARISA,301515,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Non ha votato,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
CARFAGNA MARIA ROSARIA,301531,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
DAMIANO CESARE,301532,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GIACOMONI SESTINO,301533,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Astensione
FIORIO MASSIMO,301540,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COSTA ENRICO,301541,AP-CPE-NCD-NCI,2013-11-18,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Astensione
GAROFANI FRANCESCO SAVERIO,301545,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FONTANA CINZIA MARIA,301548,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BERNARDO MAURIZIO,301550,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FITTO RAFFAELE,301551,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
VALENTINI VALENTINO,301559,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
BORDO MICHELE,301561,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
GRASSI GEROLAMO,301562,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BELLANOVA TERESA,301564,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
VICO LUDOVICO,301565,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CASTIELLO GIUSEPPINA,301573,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario
DI SALVO TERESA MARIA,301576,SI-SEL-POS-LU,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
NACCARATO ALESSANDRO,301578,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MURGIA BRUNO,302040,FDI-AN,2013-04-03,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Astensione,,,,,,
DURANTI DONATELLA,302058,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
CAPEZZONE DANIELE,302059,FI-PDL,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Contrario,Astensione,Contrario,,,,,,
SCOTTO ARTURO,302069,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
SMERIGLIO MASSIMILIANO,302078,SI-SEL-POS-LU,2013-03-19,,,,,,,,,,,,,,,
BALDELLI SIMONE,302089,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
MELONI GIORGIA,302103,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole
PIZZOLANTE SERGIO,302117,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BIANCOFIORE MICHAELA,302124,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
GOZI SANDRO,302128,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
FARINA DANIELE,302138,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
ALLASIA STEFANO,302145,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
FAVA GIOVANNI,302153,LNA,2013-03-19,,,,,,,,,,,,,,,
PINI GIANLUCA,302160,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
MIGLIORE GENNARO,302164,SI-SEL-POS-LU,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
BINETTI PAOLA,302190,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BOBBA LUIGI,302200,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CARLONI ANNA MARIA,302211,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MONGIELLO COLOMBA,302248,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PICCONE FILIPPO,302255,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
RUBINATO SIMONETTA,302268,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TOTARO ACHILLE,302274,FDI-AN,2013-04-03,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Astensione,,,,,,
VILLECCO ROSA MARIA,302278,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BRUNO FRANCESCO,302282,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ROSSI PAOLO,302294,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CUPERLO GIOVANNI,302422,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COLANINNO MATTEO,302744,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
PELUFFO VINICIO GIUSEPPE GUIDO,302746,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MOSCA ALESSIA MARIA,302747,PD,2013-03-19,,,,,,,,,,,,,,,
ROCCELLA EUGENIA MARIA,302748,NCI-SCPI-MAIE,2016-10-13,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Astensione,Favorevole,Contrario,,,,,,
FERRANTI DONATELLA,302751,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BRAGA CHIARA,302754,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
CORSARO MASSIMO ENRICO,302757,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
VIGNALI RAFFAELLO,302758,AP-CPE-NCD-NCI,2013-11-18,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CARRA MARCO,302760,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MOLTENI NICOLA,302762,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario
RONDINI MARCO,302763,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
BIASOTTI SANDRO MARIO,302769,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
TULLO MARIO,302772,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LAFFRANCO PIETRO,302773,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
VERINI WALTER,302774,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BOCCUZZI ANTONIO MICHELE,302779,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ROSSOMANDO ANNA,302780,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PORTAS GIACOMO,302782,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
LORENZIN BEATRICE,302783,AP-CPE-NCD-NCI,2013-11-18,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DE GIROLAMO NUNZIA,302786,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PISO VINCENZO,302787,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MADIA MARIA ANNA,302789,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
GASBARRA ENRICO,302790,PD,2013-03-19,,,,,,,,,,,,,,,
ARGENTIN ILEANA,302791,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CARELLA RENZO,302792,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MORASSUT ROBERTO,302794,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
COSCIA MARIA,302796,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LABOCCETTA AMEDEO,302797,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PICIERNO GIUSEPPINA,302809,PD,2013-03-19,,,,,,,,,,,,,,,
VACCARO GUGLIELMO,302811,MISTO,2013-03-19,Favorevole,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,,,,,,
BOSSA LUISA,302812,MDP-LU,2017-02-28,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BONAVITACOLA FULVIO,302817,PD,2013-03-19,,,,,,,,,,,,,,,
BRAGANTINI MATTEO,302822,NCI-SCPI-MAIE,2016-10-13,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MIOTTO ANNA MARGHERITA,302830,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MOGHERINI FEDERICA,302831,PD,2013-03-19,,,,,,,,,,,,,,,
DAL MORO GIAN PIETRO,302832,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
SBROLLINI DANIELA,302833,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BUONANNO GIANLUCA,302834,LNA,2013-03-19,,,,,,,,,,,,,,,
SIMONETTI ROBERTO,302835,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
NIZZI SETTIMO,302837,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
BRAMBILLA MICHELA VITTORIA,302838,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
PES CATERINA,302840,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Favorevole,Favorevole,Contrario,,,,,,
MARROCU SIRO,302845,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
